Cultivo;Media
ACELGA  ;10.645333
CALABACIN;16.0875
COLIFLOR;20.958125
PALMITO;8.590909
REPOLLO;22.062105
 AHUYAMA;12.213267
 CALABAZA;17.81
ESPARRAGO;4
PEPINO COHOMBRO;17.572625
TOMATE;41.219957
  AJI;9.342574
CEBOLLA DE BULBO;18.422589
ESPINACA;13.523
PEPINO GUISO;9.14
ZANAHORIA;22.265125
 AJO;10.883077
CEBOLLA DE RAMA;14.247238
GUATILA;11.503333
PIMENTON;13.450306
APIO;15.913
 CEBOLLIN;28
HORTALIZAS VARIAS;7.563519
 PUERRO;20
BERENJENA;12.85
 CILANTRO;6.291685
LECHUGA;17.635
RABANO;22
BROCOLI;17.854762
COL;4.82
NABO;6.666667
REMOLACHA;23.373529
